Date,CAR001
2021-07-01,
2021-07-02,114134
2021-07-03,64711
2021-07-04,70741
2021-07-05,66474
2021-07-06,74083
2021-07-07,90357
2021-07-08,116806
2021-07-09,109379
2021-07-10,109379
2021-07-11,109379
2021-07-12,104623
2021-07-13,104623
2021-07-14,104623
2021-07-15,142668
2021-07-16,142668
2021-07-17,133157
2021-07-18,128401
2021-07-19,142668
2021-07-20,133157
2021-07-21,147424
2021-07-22,166445
2021-07-23,150276
2021-07-24,142668
2021-07-25,140765
2021-07-26,136010
2021-07-27,128401
2021-07-28,147424
2021-07-29,85011
2021-07-30,0
2021-07-31,38045
