Date,ECA1,ECA2,ECA3
2020-06-01,0,0,7000
2020-06-02,0,0,11759
2020-06-03,0,0,7000
2020-06-04,0,0,7000
2020-06-05,0,0,7000
2020-06-06,0,0,7000
2020-06-07,0,0,7000
2020-06-08,0,0,7000
2020-06-09,0,0,21000
2020-06-10,0,0,7000
2020-06-11,0,0,7000
2020-06-12,0,0,7000
2020-06-13,0,0,7000
2020-06-14,0,0,7000
2020-06-15,0,0,7000
2020-06-16,0,0,7000
2020-06-17,0,0,7000
2020-06-18,0,0,7000
2020-06-19,0,0,7000
2020-06-20,0,0,7000
2020-06-21,0,0,7000
2020-06-22,0,0,19000
2020-06-23,0,0,24131
2020-06-24,0,0,55841
2020-06-25,0,0,69999
2020-06-26,0,0,35622
2020-06-27,0,0,12277
2020-06-28,0,0,7000
2020-06-29,0,0,7000
2020-06-30,0,0,7000
2020-07-01,0,0,57511
2020-07-02,0,0,42011
2020-07-03,0,0,50606
2020-07-04,0,0,85011
2020-07-05,0,0,100132
2020-07-06,0,0,157590
2020-07-07,0,0,134413
2020-07-08,0,0,179165
2020-07-09,0,0,149195
2020-07-10,0,0,152015
2020-07-11,0,0,206508
2020-07-12,0,0,152092
2020-07-13,,,
2020-07-14,,,
2020-07-15,,,
2020-07-16,,,
2020-07-17,,,
2020-07-18,,,
2020-07-19,,,
2020-07-20,0,0,67028
2020-07-21,0,0,91173
2020-07-22,0,0,117075
2020-07-23,0,0,80153
2020-07-24,0,0,120408
2020-07-25,0,0,43498
2020-07-26,0,0,61749
2020-07-27,0,0,69816
2020-07-28,0,0,77883
2020-07-29,0,0,171418
2020-07-30,0,0,121384
2020-07-31,0,0,53747
2020-08-01,0,0,48000
2020-08-02,0,0,48000
2020-08-03,0,0,78725
2020-08-04,0,0,118335
2020-08-05,0,0,113593
2020-08-06,0,0,35606
2020-08-07,0,0,8221
2020-08-08,0,0,7011
2020-08-09,0,0,10585
2020-08-10,0,0,65768
2020-08-11,0,0,138806
2020-08-12,0,0,137996
2020-08-13,0,0,120633
2020-08-14,0,0,176798
2020-08-15,0,0,93803
2020-08-16,0,0,193696
2020-08-17,0,0,334163.5
2020-08-18,0,0,474631
2020-08-19,0,0,249999
2020-08-20,0,0,304568
2020-08-21,0,0,207746
2020-08-22,0,0,104808
2020-08-23,0,0,102248
2020-08-24,0,0,130378
2020-08-25,0,0,75120
2020-08-26,0,0,152540
2020-08-27,0,0,19714
2020-08-28,0,0,7011
2020-08-29,0,0,21585
2020-08-30,0,0,21585
2020-08-31,0,0,21585
2020-09-01,0,0,43927
2020-09-02,0,0,7011
2020-09-03,0,0,17062
2020-09-04,0,0,113934
2020-09-05,0,0,117228
2020-09-06,0,0,87567
2020-09-07,0,0,102055
2020-09-08,0,0,7011
2020-09-09,0,0,7011
2020-09-10,0,0,7011
2020-09-11,0,0,7011
2020-09-12,0,0,7011
2020-09-13,0,0,7011
2020-09-14,0,0,7011
2020-09-15,0,0,7011
2020-09-16,,,
2020-09-17,,,
2020-09-18,,,
2020-09-19,,,
2020-09-20,,,
2020-09-21,,,
2020-09-22,,,
2020-09-23,,,
2020-09-24,,,
2020-09-25,,,
2020-09-26,,,
2020-09-27,,,
2020-09-28,,,
2020-09-29,,,
2020-09-30,,,
2020-10-01,,,
2020-10-02,,,
2020-10-03,,,
2020-10-04,,,
2020-10-05,,,
2020-10-06,,,
2020-10-07,,,
2020-10-08,,,
2020-10-09,,,
2020-10-10,,,
2020-10-11,,,
2020-10-12,,,
2020-10-13,,,
2020-10-14,,,
2020-10-15,,,
2020-10-16,,,
2020-10-17,,,
2020-10-18,,,
2020-10-19,,,
2020-10-20,,,
2020-10-21,,,
2020-10-22,,,
2020-10-23,,,
2020-10-24,,,
2020-10-25,,,
2020-10-26,,,
2020-10-27,,,
2020-10-28,,,
2020-10-29,,,
2020-10-30,,,
2020-10-31,,,
2020-11-01,,,
2020-11-02,,,
2020-11-03,,,
2020-11-04,,,
2020-11-05,,,
2020-11-06,,,
2020-11-07,,,
2020-11-08,,,
2020-11-09,,,
2020-11-10,,,
2020-11-11,,,
2020-11-12,,,
2020-11-13,,,
2020-11-14,,,
2020-11-15,,,
2020-11-16,,,
2020-11-17,,,
2020-11-18,,,
2020-11-19,,,
2020-11-20,,,
2020-11-21,,,
2020-11-22,,,
2020-11-23,,,
2020-11-24,,,
2020-11-25,,,
2020-11-26,,,
2020-11-27,,,
2020-11-28,,,
2020-11-29,,,
2020-11-30,,,
2020-12-01,,,
2020-12-02,,,
2020-12-03,,,
2020-12-04,,,
2020-12-05,,,
2020-12-06,,,
2020-12-07,,,
2020-12-08,,,
2020-12-09,,,
2020-12-10,,,
2020-12-11,,,
2020-12-12,,,
2020-12-13,,,
2020-12-14,,,
2020-12-15,,,
2020-12-16,,,
2020-12-17,,,
2020-12-18,,,
2020-12-19,,,
2020-12-20,,,
2020-12-21,,,
2020-12-22,,,
2020-12-23,,,
2020-12-24,,,
2020-12-25,,,
2020-12-26,,,
2020-12-27,,,
2020-12-28,,,
2020-12-29,,,
2020-12-30,,,
2020-12-31,,,
2021-01-01,,,
2021-01-02,,,
2021-01-03,,,
2021-01-04,,,
2021-01-05,,,
2021-01-06,,,
2021-01-07,,,
2021-01-08,,,
2021-01-09,,,
2021-01-10,,,
2021-01-11,,,
2021-01-12,,,
2021-01-13,,,
2021-01-14,,,
2021-01-15,,,
2021-01-16,,,
2021-01-17,,,
2021-01-18,,,
2021-01-19,,,
2021-01-20,,,
2021-01-21,,,
2021-01-22,,,
2021-01-23,,,
2021-01-24,,,
2021-01-25,,,
2021-01-26,,,
2021-01-27,,,
2021-01-28,,,
2021-01-29,,,
2021-01-30,,,
2021-01-31,,,
2021-02-01,,,
2021-02-02,,,
2021-02-03,,,
2021-02-04,,,
2021-02-05,,,
2021-02-06,,,
2021-02-07,,,
2021-02-08,,,
2021-02-09,,,
2021-02-10,,,
2021-02-11,,,
2021-02-12,,,
2021-02-13,,,
2021-02-14,,,
2021-02-15,,,
2021-02-16,,,
2021-02-17,,,
2021-02-18,,,
2021-02-19,,,
2021-02-20,,,
2021-02-21,,,
2021-02-22,,,
2021-02-23,,,
2021-02-24,,,
2021-02-25,,,
2021-02-26,,,
2021-02-27,,,
2021-02-28,,,
2021-03-01,,,
2021-03-02,,,
2021-03-03,,,
2021-03-04,,,
2021-03-05,,,
2021-03-06,,,
2021-03-07,,,
2021-03-08,,,
2021-03-09,,,
2021-03-10,,,
2021-03-11,,,
2021-03-12,,,
2021-03-13,,,
2021-03-14,,,
2021-03-15,,,
2021-03-16,,,
2021-03-17,,,
2021-03-18,,,
2021-03-19,,,
2021-03-20,,,
2021-03-21,,,
2021-03-22,,,
2021-03-23,,,
2021-03-24,,,
2021-03-25,,,
2021-03-26,,,
2021-03-27,,,
2021-03-28,,,
2021-03-29,,,
2021-03-30,,,
2021-03-31,,,
2021-04-01,,,
2021-04-02,,,
2021-04-03,,,
2021-04-04,,,
2021-04-05,,,
2021-04-06,,,
2021-04-07,,,
2021-04-08,,,
2021-04-09,,,
2021-04-10,,,
2021-04-11,,,
2021-04-12,,,
2021-04-13,,,
2021-04-14,,,
2021-04-15,,,
2021-04-16,,,
2021-04-17,,,
2021-04-18,,,
2021-04-19,,,
2021-04-20,,,
2021-04-21,,,
2021-04-22,,,
2021-04-23,,,
2021-04-24,,,
2021-04-25,,,
2021-04-26,,,
2021-04-27,,,
2021-04-28,,,
2021-04-29,0,0,7011
2021-04-30,0,0,7011
2021-05-01,0,0,7011
2021-05-02,0,0,7011
2021-05-03,0,0,7011
2021-05-04,0,0,7011
2021-05-05,0,0,7011
